# SpellHandler
SpellHandler.CancelEffect:			Vous désactivez votre effet.
SpellHandler.PulsingSpellCancelled:		Votre sort a été désactivé.
SpellHandler.PulsingSpellNoMana:		Vous n'avez pas assez de Mana et votre sort a été désactivé.
SpellHandler.NoMoreMana:			Vous avez épuisé toute votre Mana et ne pouvez plus lancer de sorts !
SpellHandler.StopPlayingSong:			Vous cessez de jouer votre mélodie.
SpellHandler.TooFarStopPlayingSong:		Vous êtes trop éloigné de la cible. Vous cessez de jouer votre mélodie.
SpellHandler.CasterMove:			Vous bougez et interrompez votre incantation !
SpellHandler.BeginCasting:			Vous commencez à lancer un sort de {0} !
SpellHandler.BeginPlaying:			Vous commencez à jouer {0} !
SpellHandler.SpellInterrupted:			{0} vous attaque et votre sort est interrompu !
SpellHandler.DamageImmunity:			{0} est immunisé contre cet effet !
SpellHandler.Target.TooFast:			{0} se déplace trop vite pour que ce sort l'affecte !
SpellHandler.DeadCantCast:			Vous êtes mort et ne pouvez pas lancer de sort !
SpellHandler.CantCastInSiegeram:		Vous ne pouvez pas lancer de sort dans un bélier !
SpellHandler.SilencedCantCast:			Vous êtes réduit au silence et ne pouvez pas lancer de sort pour l'instant.
SpellHandler.PhaseshiftedCantCast:		Vous êtes sous 'Transfert de Plan' et ne pouvez pas lancer de sort.
SpellHandler.PhaseshiftedCantBeAffected:	{0} est sous 'Transfert de Plan' et ne peut pas être affecté par ce sort !
SpellHandler.OnlyWorksOnDead:			Ce sort ne fonctionne que sur les membres morts de votre royaume !
SpellHandler.CantAttackSelf:			Vous ne pouvez pas vous attaquer vous-même !
SpellHandler.TargetNotInView:			Votre cible n'est pas en vue !
SpellHandler.TargetNotInViewSpellFail:		Votre cible est hors de votre champ de vision. Le sort échoue !
SpellHandler.TargetNotVisible:			Votre cible n'est pas visible !
SpellHandler.TargetInvalid:			La cible est invalide.
SpellHandler.MustSelectTarget:			Vous devez sélectionner une cible pour ce sort !
SpellHandler.TargetTooFar:			Cette cible est trop loin !
SpellHandler.AreaTargetOutOfRange:		Votre cible de zone est hors de portée. Sélectionnez une cible plus proche.
SpellHandler.MustCastOnControlled:		Vous devez lancer ce sort sur une créature que vous contrôlez.
SpellHandler.SpellRequiresConcentration:	Ce sort nécessite {0} points de concentration pour être lancé !
SpellHandler.MaxConcentrationSpells:		Vous ne pouvez lancer que 50 sorts de concentration simultanés au maximum !
SpellHandler.WrongInstrument:			Vous ne maniez pas le bon type d'instrument !
SpellHandler.CantCastWhileSitting:		Vous ne pouvez pas lancer de sort en étant assis !
SpellHandler.CantCastWhileSitting2:		Vous ne pouvez pas lancer ce sort en étant assis !
SpellHandler.CantCastWhileMoving:		Vous devez rester immobile pour lancer ce sort !
SpellHandler.CantCastOnDead:			Vous ne pouvez pas lancer ce sort sur un mort !
SpellHandler.MustWaitBeforeUse:			Vous devez attendre {0} secondes avant d'utiliser ce sort !
SpellHandler.InteruptWaitBeforeCast:		Vous avez été interrompu et devez attendre {0} secondes avant de pouvoir relancer un sort !
SpellHandler.NotEnoughPower:			Vous n'avez pas assez de Mana pour lancer ce sort !
SpellHandler.GroundTargetNotInView:		Votre cible au sol n'est pas en vue !
SpellHandler.OnlyWorksOnFriendlyTargets:	Ce sort ne fonctionne que sur les cibles amies !
SpellHandler.LostFocusOnSpell:			Vous perdez votre concentration sur votre sort {0}.
SpellHandler.InterruptFocus:			Vous bougez et interrompez votre concentration !
SpellHandler.YouResistEffect:			Vous résistez à l'effet !
SpellHandler.TargetResistsEffect:		{0} résiste à l'effet !
SpellHandler.PetResistsEffect:			Votre {0} résiste à l'effet !
SpellHandler.NoEffectOnKeepComponent:		Votre sort n'a aucun effet sur le composant du fort !
SpellHandler.NoEffectOnTarget:			Votre sort n'a aucun effet sur {0} !
SpellHandler.TargetAlreadyMezz:			Votre cible est déjà sous l'effet d'un mezz !
SpellHandler.CantHaveEffectAgainYet:		Vous ne pouvez pas avoir à nouveau cet effet pour le moment !
SpellHandler.AlreadyHaveEffectWait:		Vous avez déjà cet effet, attendez qu'il expire ! Le sort a échoué.
SpellHandler.TargetCantHaveEffectAgainYet:	{0} ne peut pas avoir à nouveau cet effet pour le moment !
SpellHandler.TargetAlreadyHasEffect:		{0} a déjà cet effet.
SpellHandler.WaitUntilExpires:			Attendez qu'il expire. Echec du sort.
SpellHandler.TargetImmune:			Votre cible est immunisée !
SpellHandler.MezIntercepted:			Votre effet défensif d'objet intercepte le sort de mezz et s'estompe !
SpellHandler.CeremonialBracerInterceptMez:	Le Bracelet Cérémonial intercepte votre mezz !
SpellHandler.StunIntercepted:			Votre effet défensif d'objet intercepte le sort d'étourdissement et s'estompe !
SpellHandler.YouMiss:				Vous ratez votre cible !
SpellHandler.TargetMissed:			{0} a raté sa cible !
SpellHandler.EngageCannotBeUsed:		{0} a été attaqué récemment et vous ne pouvez pas engager.
SpellHandler.NotEnoughEndurance:		Vous vous concentrez pour bloquer le coup !
SpellHandler.MustTargetPlayer:          Vous devez cibler un joueur.
SpellHandler.BuffNoEffectOnVampiir:		Votre sort d'augmentation n'a aucun effet sur le Vampiir !
SpellHandler.BuffNoEffectOnYou:			Ce sort d'augmentation n'a aucun effet sur vous !
SpellHandler.AlreadyHasEffect:			Vous avez déjà cet effet !
SpellHandler.AlreadyHasThisEffect:		{0} a déjà cet effet
SpellHandler.TargetIsStealthed:         Ce sort ne peut pas être utilisé sur une cible camouflée!
SpellHandler.DefaultDescription:		{0} a une valeur de {1} et une valeur de dégâts de {2}.

SpellHandler.CheckLOSYouToPet.NotInView:	Votre familier n'est pas en vue.
SpellHandler.CheckLOSPlayerToTarget.LoSInterrupt:	Interruption de la ligne de vue dans CheckLOSPlayerToTarget
SpellHandler.CheckLOSPlayerToTarget.CantSeeTarget:	Vous ne pouvez pas voir votre cible d'ici !
SpellHandler.CheckLOSNPCToTarget.LoSInterrupt:	Interruption de la ligne de vue dans CheckLOSNPCToTarget

SpellHandler.HitTarget:				Vous frappez {0} pour {1}{2} dommages !
SpellHandler.NPCHitTarget:			Votre {0} frappe {1} pour {2}{3} dommages !
SpellHandler.CriticalHit:			Vous infligez un coup critique pour {0} dommages supplémentaires !
SpellHandler.TargetPronoun.Your:		Votre
SpellHandler.TargetPronoun.Targets:		La cible

SpellHandler.MustBeStealthedBow:		Vous devez être en mode furtif et équipé d'un arc pour utiliser cette compétence !
SpellHandler.MustWieldBow:			Vous devez être équipé d'un arc pour utiliser cette compétence !
SpellHandler.Archery.Prepare:			Vous préparez un {0}.
SpellHandler.Archery.DisarmedCantCast:		Vous ne pouvez pas lancer de sort car vous êtes désarmé.
SpellHandler.ChamberSpell.YouInvulnerable:	Vous êtes actuellement invulnérable et ne pouvez pas lancer ce sort !
SpellHandler.ChamberSpell.TargetInvulnerable:	Votre cible est actuellement invulnérable et ne peut pas être attaquée !
SpellHandler.SiegeArrow.InvalidTarget:		Vous devez cibler un composant de forteresse pour ce sort !
SpellHandler.SiegeArrow.InvalidComponentTarget:	Votre cible doit être un composant de forteresse !
SpellHandler.SiegeArrow.PrepareSpell:		Vous préparez {0}.
SpellHandler.BumpSpell.TargetHurled:		{0} est projeté en l'air !
SpellHandler.DualStatBuff.AlreadyHasEffect:	Votre cible a déjà un effet de ce type !

SpellHandler.Convoker.AreaTargetOutOfRange:	Votre cible de zone est hors de portée. Sélectionnez un point au sol plus proche.
SpellHandler.Convoker.AreaTargetNotInView:	Votre cible de zone n'est pas en vue.
SpellHandler.Convoker.MustSetGroundTarget:	Vous devez définir une cible au sol !

SpellHandler.IchorOfTheDeep.NoTarget:		Vous avez besoin d'une cible pour cette compétence !
SpellHandler.IchorOfTheDeep.TargetTooFar:	{0} est trop loin.
SpellHandler.IchorOfTheDeep.AlreadyCasting:	Vous êtes déjà en train d'utiliser cette compétence.
SpellHandler.IchorOfTheDeep.CastMessage:	Vous lancez {0} !
SpellHandler.IchorOfTheDeep.AreaCastMessage:	{0} lance un sort !
SpellHandler.IchorOfTheDeep.HitMob:		Vous frappez le {0} pour {1} dommages.
SpellHandler.IchorOfTheDeep.HitPlayer:		Vous frappez {0} pour {1} dommages.

SpellHandler.OmniHeal.SelfHealed:		Vous gagnez {0} points d'Endurance et {1} points de Mana.
SpellHandler.OmniHeal.TargetHealed:		Vous soignez {0} pour {1} points d'Endurance et {2} points de Mana.
SpellHandler.OmniHeal.YouAreHealed:		Vous êtes soigné par {0} pour {1} points d'Endurance et {2} points de Mana.
SpellHandler.OmniHarm.InflictLossesToTarget:	Vous infligez également {0} pertes d'Endurance et {1} de Mana à {2} !
SpellHandler.OmniHarm.InflictLossesToYou:		{0} vous inflige {1} pertes d'Endurance et {2} de Mana !

SpellHandler.HealSpell.TargetDead:		{0} est mort !
SpellHandler.HealSpell.NoHelp:			Ce joueur ne veut pas d'assistance.
SpellHandler.HealSpell.FullyHealedSelf:		Vous êtes complètement soigné.
SpellHandler.HealSpell.FullyHealedTarget:	{0} est complètement soigné.
SpellHandler.HealSpell.RealmPointsGained:	Vous gagnez {0} points de royaume pour avoir soigné un membre de votre royaume.
SpellHandler.HealSpell.SelfHealed:		Vous vous soignez de {0} points de vie.
SpellHandler.HealSpell.TargetSelfHealed:	{0} se soigne pour {1} points de vie.
SpellHandler.HealSpell.TargetHealed:		Vous soignez {0} de {1} points de vie !
SpellHandler.HealSpell.TargetDamageToHeal:		Vous soignez {0} de {1} points de vie au lieu de lui causer des dommages en raison de son bouclier magique !
SpellHandler.HealSpell.YouAreHealed:		Vous êtes soigné par {0} pour {1} points de vie.
SpellHandler.HealSpell.CriticalHeal:		Vous réalisez un soin critique et récupérez {0} points de vie supplémentaires !
SpellHandler.HealSpell.EfficientHealingBuff:	Votre buff de guérison efficace vous apporte {0} points de soin supplémentaires !
SpellHandler.HealSpell.EfficientEnduranceBuff:	Votre buff d'endurance efficace vous apporte {0} points d'endurance supplémentaires lors du soin !
SpellHandler.HealSpell.TargetDamnedDamaged:		Vous êtes damné ! Le sort de guérison vous inflige {0} dommages au lieu de vous soigner !
SpellHandler.HealSpell.TargetDamnedPartiallyHealed:	Le sort de guérison est moins efficace car vous etes damné !
SpellHandler.HealSpell.DamnedNoHeal:		Le sort de guérison ne vous affecte pas car vous etes damné !
SpellHandler.HealSpell.YouDiseased:			Vous êtes malade, le soin est réduit de {0}% !
SpellHandler.HealSpell.HealingReduced:			Le soin est réduit de {0}% à cause des effets d'inhibition de soin.
SpellHandler.HealSpell.HealingReducedShield:				Le soin est réduit de {0}% en raison de la barrière protectrice de {1}.
SpellHandler.HealSpell.HealingNull:				Votre sort échoue à soigner la cible en raison des effets d'inhibition de soin.
SpellHandler.HealSpell.HealingNullYou:			Le soin échoue en raison de vos effets d'inhibition.
SpellHandler.LifeDrain.YouTargetDamnedNoHeal:	Le sort de drain vital n'a aucun effet car vous, ainsi que votre cible êtes damnés !
SpellHandler.LifeDrain.TargetDamnedDamaged:		Vous êtes damné ! Le drain vital vous inflige {0} dommages au lieu de vous soigner !
SpellHandler.LifeDrain.TargetDamnedPartiallyHealed:	Le drain vital est moins efficace car {0} est damné !
SpellHandler.LifeDrain.DamnedNoHeal:		Le sort de drain vital ne vous soigne pas car vous êtes damné !
SpellHandler.LifeDrain.DamnedTargetHealed:				{0} est soignée et regagne {1} points de vie !
SpellHandler.LifeDrain.DamnedTargetCriticallyHealed:	{0} reçoit un bonus critique en soin et regagne {1} points de vie !
SpellHandler.LifeDrain.DamnedYouHealed:				Vous êtes soigné et regagnez {0} points de vie !
SpellHandler.LifeDrain.DamnedYouCriticallyHealed:	Vous recevez un bonus critique en soin et regagnez {0} points de vie !
SpellHandler.SpreadHeal.GroupFullyHealed:	Votre groupe est déjà complètement soigné !

SpellHandler.Zephyr.NoAttackInZephyr:		Vous êtes transporté par un Zéphyr et ne pouvez pas être attaqué !
SpellHandler.Zephyr.TargetNoAttackInZephyr:	Votre cible est transportée par un Zéphyr et ne peut pas être attaquée !
SpellHandler.Zephyr.PickedUpByZephyr:		Vous êtes emporté par un Zéphyr puissant !
SpellHandler.Phaseshift.NotEnoughEndurance:	Vous avez besoin de 50 % d'endurance pour utilier ce sort !
SpellHandler.Groupport.CannotUseAbilityHere:	Vous ne pouvez pas utiliser cette compétence ici !
SpellHandler.Groupport.BindInAnotherRegion:	Liez-vous dans une autre région pour utiliser cette compétence !
SpellHandler.Groupport.GroupInCombat:		Vous ne pouvez pas téléporter un groupe qui se trouve en combat !
SpellHandler.Groupport.NotInGroup:		Vous ne faites pas partie d'un groupe !
SpellHandler.TargetNoLongerInRange:		Votre cible n'est plus à portée.
SpellHandler.TargetNoLongerInView:		Votre cible n'est plus en vue.
SpellHandler.SlowSpellHandler.TooFastForEffect:	{0} se déplace trop vite pour que ce sort ait un effet !
SpellHandler.Earthquake.Ending:			Le séisme a pris fin.
SpellHandler.YouDamnedResistEffect:			Vous êtes damné et résistez à l'effet !
SpellHandler.TargetDamnedResistsEffect:		{0} est damné et résiste à l'effet !

SpellHandler.VampiirBolt.CannotCastInCombat:	Vous ne pouvez pas lancer ce sort en combat !
SpellHandler.VampiirBolt.PowerTaken:		{0} vous prend {1} de Mana !
SpellHandler.VampiirBolt.PowerReceived:		Vous recevez {0} de Mana de {1} !
SpellHandler.VampiirBolt.NoPowerReceived:	Vous n'avez récupéré aucune Mana de {0} !

SpellHandler.WrathofChampions.CastSpell:	Vous lancez {0} !
SpellHandler.WrathofChampions.CastSpellFromArea:	{0} lance un sort !
SpellHandler.WrathofChampions.HitMob:		Vous frappez le {0} pour {1} dommages.
SpellHandler.WrathofChampions.HitPlayer:	Vous frappez {0} pour {1} dommages.
SpellHandler.WrathofChampions.PlayerHitBy:	{0} vous frappe pour {1} dommages.

SpellHandler.ResurrectSpellHandler.ResurrectDialog:		Autorisez-vous {0} à vous ressusciter avec {1} pourcent de points de vie ?
SpellHandler.ResurrectSpellHandler.NoResurrectAttempt:		Personne n'essaie actuellement de vous ressusciter.
SpellHandler.ResurrectSpellHandler.ResurrectDeclined:		Vous refusez d'être ressuscité.
SpellHandler.ResurrectSpellHandler.ResurrectedBy:		Vous avez été ressuscité par {0} !
SpellHandler.ResurrectSpellHandler.ResurrectedByToken:	Une force miraculeuse vous ranime !
SpellHandler.ResurrectSpellHandler.SelfTokenResurrectDialog:	Une force miraculeuse vous ranime ! Elle vous rendra {0}% de vie.
SpellHandler.ResurrectSpellHandler.RezExpired:			Votre sort de résurrection a expiré.
SpellHandler.ResurrectSpellHandler.AlreadyConsideringResurrect:	Votre cible envisage déjà une résurrection !
SpellHandler.ResurrectSpellHandler.NoRealmPoints1:		Le joueur que vous avez ressuscité ne valait aucun points de royaume à sa mort.
SpellHandler.ResurrectSpellHandler.NoRealmPoints2:		Vous ne gagnez donc pas de points de royaume lors de sa résurrection.

SpellHandler.Battlewarder.ConcentrationFades:	Votre concentration s'estompe.
SpellHandler.Battlewarder.WarderFallen:		Votre Garde de Bataille est tombé !
SpellHandler.Convoker.TemplateNotFound:		NPCTemplate {0} introuvable !
SpellHandler.Convoker9.PetAlreadyHasAbility:	Votre familier a déjà une compétence de ce type active.
SpellHandler.Convoker9.NecroCannotUseOnOwnPet:	Vous ne pouvez pas utiliser cette compétence sur votre propre familier.

SpellHandler.BoltSpell.PartialBlock:		Vous bloquez partiellement le sort de {0} !
SpellHandler.BoltSpell.Blocked:			{0} bloque !

SpellHandler.Arrow.Block:			Vous bloquez la flèche de {0} !
SpellHandler.Arrow.ArrowBlocked:		{0} bloque votre flèche !
