# /SkillBase
SkillBase.RegisterPropertyNames.Acuity:               Acuité
SkillBase.RegisterPropertyNames.AcuityBonusCap:         Bonus au cap d'Acuité
SkillBase.RegisterPropertyNames.AllArcherySkills:      Toutes compétences d'Archerie
SkillBase.RegisterPropertyNames.AllDualWieldingSkills:   Toutes compétences Deux armes
SkillBase.RegisterPropertyNames.AllMagicSkills:         Toutes compétences Magiques
SkillBase.RegisterPropertyNames.AllMeleeWeaponSkills:   Toutes compétences d'Armes de mêlée
SkillBase.RegisterPropertyNames.AllSkills:            Toutes compétences
SkillBase.RegisterPropertyNames.ALLSpellLines:         Toutes Lignes de Sorts
SkillBase.RegisterPropertyNames.Arboreal:             Voie Arboréale
SkillBase.RegisterPropertyNames.ArborealFocus:         Focus : Voie Arboréale
SkillBase.RegisterPropertyNames.ArcheryRange:         Portée d'Archerie
SkillBase.RegisterPropertyNames.ArcherySpeed:         Vitesse de tir
SkillBase.RegisterPropertyNames.ArrowRecovery:         Récupération de flèches
SkillBase.RegisterPropertyNames.Augmentation:         Amélioration
SkillBase.RegisterPropertyNames.AuraManipulation:      Manipulation d'Aura
SkillBase.RegisterPropertyNames.Axe:               Hache
SkillBase.RegisterPropertyNames.Battlesongs:         Chants de guerre
SkillBase.RegisterPropertyNames.BeastCraft:            Lien Animal
SkillBase.RegisterPropertyNames.Blades:               Lames
SkillBase.RegisterPropertyNames.BladeturnReinforcement:   Renforcement de la bulle protectrice (PvE Uniquement)
SkillBase.RegisterPropertyNames.BlockChance:         Chance de Blocage boucliers
SkillBase.RegisterPropertyNames.Blunt:               Masse
SkillBase.RegisterPropertyNames.Body:               Résistance au Corps
SkillBase.RegisterPropertyNames.BodyMagic:            Altération
SkillBase.RegisterPropertyNames.BodyMagicFocus:         Focus : Altération
SkillBase.RegisterPropertyNames.BoneArmy:            Armée Squelettique
SkillBase.RegisterPropertyNames.BoneArmyFocus:        Focus : Armée Squelettique
SkillBase.RegisterPropertyNames.BonusToArmorAbsorption:   Bonus d'Absorption (Abs)
SkillBase.RegisterPropertyNames.BonusToArmorFactor:      Bonus au Facteur d'Armure (AF)
SkillBase.RegisterPropertyNames.CastingSpeed:         Bonus à la vitesse d'Incantation
SkillBase.RegisterPropertyNames.CaveMagic:            Magie Abyssale
SkillBase.RegisterPropertyNames.CelticDual:            Art de Combat
SkillBase.RegisterPropertyNames.CelticSpear:         Lance Celtique
SkillBase.RegisterPropertyNames.Chants:               Cantiques
SkillBase.RegisterPropertyNames.Charisma:            Charisme
SkillBase.RegisterPropertyNames.CharismaBonusCap:      Bonus au cap de Charisme
SkillBase.RegisterPropertyNames.Cold:               Résistance au Froid
SkillBase.RegisterPropertyNames.ColdMagic:            Voie de la Glace
SkillBase.RegisterPropertyNames.ColdMagicFocus:         Focus : Voie de la Glace
SkillBase.RegisterPropertyNames.Composite:            Composite
SkillBase.RegisterPropertyNames.Concentration:         Concentration
SkillBase.RegisterPropertyNames.Constitution:         Constitution
SkillBase.RegisterPropertyNames.ConstitutionBonusCap:   Bonus au cap de Constitution
SkillBase.RegisterPropertyNames.Creeping:            Voie Sylvestre
SkillBase.RegisterPropertyNames.CreepingPathFocus:      Focus : Voie Sylvestre
SkillBase.RegisterPropertyNames.CriticalArcheryHit:      Bonus aux chances de Critique Archerie
SkillBase.RegisterPropertyNames.CriticalMeleeHit:      Bonus aux chances de Critique en Mêlée
SkillBase.RegisterPropertyNames.CriticalSpellHit:		Bonus aux chances de Dégâts Critiques
SkillBase.RegisterPropertyNames.CriticalHealHit:		Bonus aux chances de Soins Critiques
SkillBase.RegisterPropertyNames.CriticalStrike:         Attaques Sournoises
SkillBase.RegisterPropertyNames.Crossbows:            Arbalètes
SkillBase.RegisterPropertyNames.Crush:               Résistance Contondant
SkillBase.RegisterPropertyNames.Crushing:            Contondant
SkillBase.RegisterPropertyNames.Cursing:            Sortilèges
SkillBase.RegisterPropertyNames.CursingFocus:         Focus : Sortilèges
